name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,record_datetime
100% Bran,N,C,70.44442454,,1,130,10,5,6,280,,3,1,0.33,68.402973,2022-06-11 14:04:45
100% Natural Bran,Q,C,120.9993938,3,5,15,2,8,,135,0,3,1,1,33.983679,2021-09-20 14:35:58
All-Bran,K,C,70.56453146,4,,,9,7,5,320,25,3,1,0.33,59.425505,2022-04-02 03:43:03
All-Bran with Extra Fiber,K,C,50.62726767,4,0,140,14,8,0,330,25,3,1,0.5,93.704912,2021-11-20 03:42:19
Almond Delight,R,C,110.2892453,2,2,200,1,14,8,-1,25,3,1,0.75,34.384843,2019-12-26 03:44:02
Apple Cinnamon Cheerios,G,C,110.9039372,,2,180,1.5,10.5,10,70,25,1,1,0.75,29.509541,2019-08-07 20:34:54
Apple Jacks,K,C,110.7771724,2,0,125,1,11,14,30,25,2,1,1,33.174094,2021-06-29 14:11:51
Basic 4,G,C,130.7187306,3,2,210,2,18,,100,25,3,1.33,0.75,37.038562,2019-07-21 17:43:19
Bran Chex,R,,90.19031734,2,1,200,4,15,6,125,25,1,1,0.67,49.120253,2022-11-24 13:56:32
Bran Flakes,P,C,90.81199643,3,0,210,5,13,5,190,25,3,1,0.67,53.313813,2022-04-04 17:00:12
Cap'n'Crunch,Q,C,120.8624334,1,2,,0,12,12,35,25,2,1,0.75,18.042851,2021-07-24 23:51:26
Cheerios,G,C,110.5829522,6,2,290,2,17,1,105,25,1,1,1.25,50.764999,2019-11-30 17:45:37
Cinnamon Toast Crunch,G,C,120.5317213,1,3,210,0,13,9,45,25,2,1,0.75,19.823573,2020-09-03 12:28:12
Clusters,G,C,110.8433761,3,2,140,2,13,7,105,25,3,,0.5,40.400208,2019-12-31 08:04:16
Cocoa Puffs,G,C,110.3714391,1,1,180,0,12,13,55,25,2,1,1,22.736446,2019-03-25 08:48:34
Corn Chex,R,C,110.9895984,2,0,280,0,22,3,25,25,1,1,1,41.445019,2020-05-12 05:50:31
Corn Flakes,K,C,100.6319548,2,0,290,1,21,2,35,25,1,1,1,45.863324,2020-05-18 06:21:09
Corn Pops,K,C,,1,0,90,1,13,12,,25,2,1,1,35.782791,2022-06-04 20:40:13
Count Chocula,G,C,110.4369161,1,1,180,0,12,13,65,25,2,1,1,22.396513,2019-07-17 16:13:17
Cracklin' Oat Bran,K,C,110.2804063,3,3,140,4,10,7,160,25,3,1,0.5,40.448772,2022-03-30 16:27:09
Cream of Wheat (Quick),N,H,100.1460379,3,0,80,1,21,0,-1,0,2,1,1,64.533816,2020-01-03 02:26:12
Crispix,K,C,110.9572621,2,0,220,1,21,3,30,25,3,1,1,46.895644,2019-10-14 23:42:17
Crispy Wheat & Raisins,G,C,100.4658731,2,1,140,2,11,10,120,25,3,1,0.75,36.176196,2021-10-20 14:47:01
Double Chex,R,C,100.9483207,2,0,190,1,18,5,80,25,3,,0.75,44.330856,2021-09-26 19:57:10
Froot Loops,K,C,110.3864701,2,1,125,1,11,13,30,25,2,1,1,32.207582,2020-02-16 03:26:39
Frosted Flakes,K,C,110.9712353,1,0,200,1,14,11,25,25,1,1,0.75,31.435973,2020-10-10 04:54:10
Frosted Mini-Wheats,K,C,100.8664205,3,0,0,3,14,7,100,25,2,1,0.8,58.345141,2022-05-06 02:41:41
Fruitful Bran,K,C,120.4288971,3,,240,5,14,12,190,25,3,1.33,0.67,41.015492,2021-09-18 04:24:56
Fruity Pebbles,P,C,110.2333888,1,1,135,0,13,12,25,25,2,1,0.75,28.025765,2019-12-11 15:11:18
Golden Crisp,P,C,100.5016625,2,0,45,0,11,15,40,25,1,1,0.88,35.252444,2020-09-01 09:06:54
Golden Grahams,G,C,110.3542359,1,1,280,0,,9,45,25,2,1,0.75,23.804043,2021-12-04 00:58:27
Grape Nuts Flakes,P,C,100.3093676,3,1,140,3,15,5,85,25,3,1,0.88,52.076897,2022-05-05 22:21:14
Grape-Nuts,P,,110.0226094,3,0,170,3,17,3,90,25,3,1,0.25,53.371007,2021-07-01 08:44:09
Great Grains Pecan,P,C,120.9759031,3,3,75,3,13,4,100,25,3,1,0.33,45.811716,2022-02-17 19:23:49
Honey Graham Ohs,Q,C,120.5129548,1,2,220,1,12,11,45,25,,1,1,21.871292,2021-05-29 07:36:59
Honey Nut Cheerios,G,C,110.2966287,3,1,250,1.5,11.5,10,90,25,1,1,0.75,31.072217,2021-08-08 10:10:59
Honey-comb,P,C,110.3677466,1,0,180,0,14,11,35,25,1,1,1.33,28.742414,2022-02-11 17:58:04
Just Right Crunchy  Nuggets,K,C,110.3537984,2,1,170,1,,6,60,100,3,1,1,36.523683,2020-09-27 21:03:16
Just Right Fruit & Nut,K,C,140.8491596,3,1,170,2,20,9,95,100,3,1.3,0.75,36.471512,2021-10-05 15:40:04
Kix,G,C,110.6135205,2,1,260,0,21,3,40,25,2,1,1.5,39.241114,2020-05-12 04:50:43
Life,Q,C,100.604345,4,2,150,2,12,6,95,25,2,1,0.67,45.328074,2021-02-01 05:09:57
Lucky Charms,G,C,110.8150962,2,1,180,0,12,12,55,25,2,1,1,26.734515,2021-09-16 04:34:58
